Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
21460.01395,19467,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
12207.87293,23512,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
17768.05951,28385,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,1
18348.89857,23852,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
15623.91976,21272,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
13216.91205,24069,Saturn,Ion,Sedan 4D,Sedan,4,2.2,4,0,1,0
41516.42986,23861,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
12045.9207,19136,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,0,1,1
12464.07346,21891,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
21683.03146,26779,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
19567.25929,2189,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,1
15033.15032,19455,Saturn,Ion,Quad Coupe 2D,Coupe,4,2.2,2,0,0,1
19689.74084,27077,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,0
11581.90504,36566,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
35033.21545,1676,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
41371.37927,20000,Chevrolet,Corvette,Conv 2D,Convertible,8,6,2,1,0,1
33248.34252,27051,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,0,1
12319.69625,24568,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
14255.74768,16958,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
19446.88294,932,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
42677.60112,24052,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
17095.03522,18720,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,0
11961.61996,27394,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
20698.07708,2992,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
69133.73172,7892,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
16267.09489,21452,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
14202.99715,11836,Saturn,Ion,Sedan 4D,Sedan,4,2.2,4,0,0,0
29595.79429,16193,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
25790.51414,21160,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,1
36338.75133,18195,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,1,0
12878.04683,19225,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
23527.7285,14948,Chevrolet,Monte Carlo,SS Coupe 2D,Coupe,6,3.8,2,1,1,0
15047.00274,12305,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
12487.05429,28492,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
30353.58555,11273,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
29275.20871,21056,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
13159.82154,22740,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,1,1,1
15594.80684,22414,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
16569.14124,25777,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,0
16997.69374,25830,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,1
19581.23141,7645,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
22894.43868,26272,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
12553.07143,32844,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
38324.80908,12090,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,1,1
